"año","mes","dia","cantidad","venta"
2017,8,16,174,111360
2017,4,15,375,232413.6
2018,10,17,187,107107
2018,2,19,353.6,208283.4
2018,4,15,336.6,210020.2
2018,1,15,788.8,392147.6
2018,9,17,205.7,115775.4
2017,5,17,400.5,248310
2017,3,17,417,245473.2
2019,3,13,136,86277.1
2017,6,20,255,158100
2017,10,13,348,219936
2018,3,15,746.3,402663.3
2018,2,18,396.1,245533.6
2018,6,14,314.5,196969.5
2019,2,19,572.9,297469.9
2017,3,16,435,255955.2
2018,4,16,567.8,330241.6
2017,9,15,330,211200
2017,1,13,357,210810
2019,1,19,333.2,179400
2019,3,12,345.1,179011.3
2018,11,14,399.5,188936.8
2017,5,18,270,167400
2018,9,17,343.4,184645.5
2018,12,15,329.8,170170
2017,11,12,465,289788
2018,2,19,457.3,278080.4
2017,7,14,531,339840
2019,1,18,324.7,173954.3
2019,2,2,299.2,193576.5
2018,5,18,181.9,113280.7
2018,4,17,382.5,231796.5
2017,3,17,489,288698.4
2019,3,13,324.7,207680.2
2017,9,16,270,172800
2017,1,14,210,124152
2018,1,16,715.7,381184.7
2018,12,16,272,140777
2017,10,14,322.5,203820
2018,11,14,1096.5,517727.6
2017,9,15,276,176640
2017,11,13,469.5,273576
2018,3,16,916.3,492389.3
2019,2,20,282.2,146351.4
2019,3,12,459,239263.7
2017,8,17,280.5,179520
2017,3,18,657,388082.4
2017,4,16,489,303180
2017,11,12,355.5,221976
2018,1,17,333.2,197307.5
2017,6,22,193.5,114594
2018,3,15,586.5,313813.5
2018,9,2,360.4,234260
2018,10,14,3039.6,1273740
2017,9,16,181.5,116160
2017,5,18,411,254726.4
2019,1,19,693.6,374190.7
2017,1,13,219,128814
2017,6,19,444,269350.8
2019,2,20,581.4,301618.2
2017,4,17,570,345798
2018,6,14,188.7,118181.7
2017,8,17,177,113280
2017,11,13,420,254734.8
2018,1,16,538.9,286627.9
2017,7,14,375,240000
2018,5,18,282.2,174116.8
2018,9,20,423.3,243113
2018,10,18,324.7,185976.7
2018,4,17,333.2,205381.8
2017,1,14,301.5,177873.6
2019,3,15,263.5,168229.1
2018,9,2,290.7,188955
2017,10,14,292.5,185268
2018,12,15,753.1,388397.1
2018,6,15,362.1,226781.1
2017,6,21,285,168972
2017,8,18,135,86400
2018,11,16,368.9,187145.4
2019,1,20,816,438139
2018,5,19,163.2,101791.3
2018,10,19,331.5,190659.3
2018,1,17,263.5,157705.6
2018,3,16,727.6,389443.6
2018,4,14,442,267276.1
2017,4,16,258,159960
2018,11,15,287.3,145689.7
2019,1,2,192.1,121637.1
2018,12,16,907.8,453115
2017,7,16,462,295680
2017,8,18,280.5,179520
2017,7,15,454.5,290730
2018,3,17,661.3,354004.3
2019,1,20,341.7,183433.9
2019,3,14,102,65746.2
2017,4,17,667.5,388642.8
2018,9,14,360.4,204373
2017,1,15,255,149004
2018,1,18,379.1,223984.8
2018,2,2,419.9,258776.7
2019,2,21,255,132405
2018,12,17,668.1,324469.6
2018,5,2,632.4,393417.7
2018,11,15,598.4,305488.3
2018,6,16,166.6,104340.6
2017,6,22,310.5,184866
2017,11,14,267,165477.6
2019,1,2,368.9,226852.6
2018,4,19,476,282686.3
2018,10,2,309.4,195110.5
2017,4,18,421.5,260026.8
2017,5,19,316.5,196230
2017,9,17,178.5,114240
2019,3,14,312.8,199904.9
2018,3,17,773.5,414364.6
